francais,base_verbale,preterit,participe_passe,niveau
se_conformer_à,abide,abode,abode,3
survenir,arise,arose,arisen,2
se_reveiller,be,was-were,been,0
porter,bear,bore,born-borne,3
battre,beat,beat,beaten,1
devenir,become,became,become,1
engendrer,beget,begat-begot,begotten,3
commmencer,begin,began,begun,1
plier,bend,bent,bent,1
parier,bet,bet,bet,1
offrir,bid,bid-bade,bid-bidden,2
mordre,bite,bit,bitten,1
saigner,bleed,bled,bled,2
souffler,blow,blew,blown,2
casser,break,broke,broken,1
elever(animaux),breed,bred,bred,3
apporter,bring,brought,brought,2
diffuser,broadcast,broadcast,broadcast,1
construire,build,built,built,0
bruler,burn,burnt-burned,burnt-burned,1
éclater,burst,burst,burst,2
acheter,buy,bought,bought,0
pouvoir,can,could,could,0
jeter,cast,cast,cast,3
attraper,catch,caught,caught,1
choisir,choose,chose,chose,1
s'accrocher,cling,clung,clung,3
venir,come,came,come,1
couter,cost,cost,cost,1
ramper,creep,crept,crept,3
couper,cut,cut,cut,1
distribuer,deal,dealt,dealt,2
creuser,dig,dug,dug,1
plonger,dive,dived,dived-dove,3
